lo_ghz,trx_0U_dcm28,trx_0U_dcm29,trx_0U_dcm30,trx_0U_dcm31,trx_0L_dcm24,trx_0L_dcm25,trx_0L_dcm26,trx_0L_dcm27,trx_1U_dcm20,trx_1U_dcm21,trx_1U_dcm22,trx_1U_dcm23,trx_1L_dcm16,trx_1L_dcm17,trx_1L_dcm18,trx_1L_dcm19
283.0,73.7423,73.6858,73.9811,73.6777,74.9491,73.1675,76.5545,74.7605,81.1348,80.6751,81.2312,82.8147,77.3055,77.245,74.6354,82.6862
283.2,72.6881,72.6688,72.9652,72.6499,77.8063,76.0858,79.4064,77.9236,82.1971,81.5055,82.284,83.9164,79.6545,79.2504,77.9206,84.8642
283.4,72.7168,72.6961,73.0716,72.7645,84.016,82.181,85.6685,84.6791,82.4086,81.7652,82.5126,84.19,80.1735,79.6932,78.3215,85.3117
283.6,73.9573,73.9055,74.1757,73.9003,87.9676,86.5656,90.0043,88.4814,79.8586,78.4029,79.0935,80.7326,76.7854,76.0047,74.7964,81.546
283.8,73.8508,73.8317,74.1058,73.8242,87.3983,86.3093,89.8264,87.5581,81.6083,80.4967,80.8709,82.5431,78.5803,77.8679,76.6114,83.3828
284.0,72.7881,72.7914,73.0659,72.9077,85.3354,84.199,87.6764,85.2131,75.7702,74.8096,75.0309,76.7906,72.652,71.7883,70.6456,77.1321
284.2,73.0346,72.9913,73.3528,73.0729,82.8329,81.5103,84.9048,82.7393,76.3213,75.4807,75.5632,77.6126,72.8881,71.8846,70.8179,77.203
284.4,71.6823,71.6627,71.9718,71.7477,78.7862,77.2198,80.7771,78.3235,76.1263,75.4068,76.2724,77.4714,72.8894,71.7658,70.7334,77.0668
284.6,70.6008,70.5529,70.8833,70.7169,76.5922,74.8773,78.7919,75.8793,77.3602,76.7716,77.4491,78.8103,73.5323,73.6455,71.2732,77.6292
284.8,68.4121,68.3867,68.7832,68.6407,73.9003,72.2056,75.9064,73.2938,79.1736,78.2613,79.3161,80.6105,75.2474,75.3112,72.9951,79.3812
285.0,69.5325,69.4869,69.9654,69.8196,73.9721,72.1909,75.9251,73.4635,78.9213,77.7837,79.0885,80.4243,74.5463,74.6798,72.2888,78.789
285.2,70.7904,70.7158,71.2044,71.0196,76.2018,74.7794,78.1187,76.3396,77.1129,76.2586,77.316,78.6055,73.027,73.2482,70.8769,77.301
285.4,70.6747,70.654,71.0642,70.9905,77.1008,75.6023,79.0698,77.2306,73.372,72.5165,73.52,74.8152,69.2244,69.6331,67.1528,73.5811
